scorer,,,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000
individuals,,,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1
bodyparts,,,nose,nose,nose,leftear,leftear,leftear,rightear,rightear,rightear,neck,neck,neck,lefthip,lefthip,lefthip,righthip,righthip,righthip,tail,tail,tail
coords,,,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
labeled-data,e3v816b-20220314T193441-194006_cropped,img8580.png,833.46,215.666,1.0,805.449,201.59,1.0,815.466,241.521,1.0,797.996,231.561,1.0,697.736,228.575,1.0,729.082,292.464,1.0,668.998,278.38,1.0
labeled-data,e3v816b-20220314T193441-194006_cropped,img4402.png,884.636,184.322,1.0,931.613,180.811,1.0,901.429,139.723,1.0,926.102,151.391,1.0,957.783,123.665,0.9340000152587891,893.14,108.776,1.0,911.448,85.143,1.0
labeled-data,e3v816b-20220314T193441-194006_cropped,img7678.png,901.683,265.755,1.0,907.916,300.485,1.0,931.98,264.151,1.0,941.014,287.082,1.0,974.202,325.061,0.9940000176429749,984.558,245.28,1.0,1008.669,306.363,0.9900000095367432
labeled-data,e3v816b-20220314T193441-194006_cropped,img6417.png,683.267,817.915,1.0,719.758,841.432,1.0,729.902,797.577,1.0,739.407,820.865,1.0,803.603,854.362,1.0,813.604,786.593,1.0,858.107,824.228,1.0
labeled-data,e3v816b-20220314T193441-194006_cropped,img7256.png,667.834,315.58,1.0,631.008,349.821,1.0,673.702,375.426,1.0,640.496,381.172,1.0,604.282,420.025,1.0,666.355,417.048,1.0,650.866,454.398,1.0
labeled-data,e3v816b-20220314T193441-194006_cropped,img6962.png,878.997,454.35,1.0,885.348,503.927,1.0,927.734,485.957,1.0,911.303,506.515,1.0,903.307,572.437,1.0,955.659,549.669,1.0,942.381,605.197,1.0
labeled-data,e3v816b-20220314T193441-194006_cropped,img8897.png,533.581,797.451,1.0,556.255,829.457,1.0,571.872,795.66,1.0,576.363,820.094,1.0,659.182,862.243,1.0,662.092,804.385,1.0,709.988,847.785,1.0
labeled-data,e3v816b-20220314T193441-194006_cropped,img8684.png,1044.614,406.872,1.0,1018.168,371.073,1.0,995.831,409.95,1.0,992.039,380.892,1.0,964.433,315.943,0.9990000128746033,903.779,365.549,1.0,888.296,315.327,1.0
labeled-data,e3v816b-20220314T193441-194006_cropped,img5162.png,623.327,537.417,1.0,658.607,545.138,1.0,641.275,505.156,1.0,666.365,510.071,1.0,741.605,491.805,1.0,696.974,436.363,1.0,759.841,434.938,1.0
labeled-data,e3v816b-20220314T193441-194006_cropped,img5787.png,1048.541,198.176,1.0,1022.965,184.758,1.0,1039.347,226.213,1.0,1017.335,212.063,1.0,948.92,219.942,0.6449999809265137,962.903,278.506,1.0,900.485,263.082,1.0
labeled-data,e3v816b-20220314T193441-194006_cropped,img8910.png,436.309,888.905,1.0,464.718,893.623,1.0,445.567,862.358,1.0,471.147,870.351,1.0,556.729,870.164,1.0,540.247,811.616,1.0,595.8,837.436,1.0
labeled-data,e3v816b-20220314T193441-194006_cropped,img8321.png,337.242,257.045,1.0,361.636,286.582,1.0,383.753,247.716,1.0,386.269,272.355,1.0,475.549,328.74,0.9940000176429749,455.065,254.684,0.9990000128746033,521.507,304.986,1.0
labeled-data,e3v816b-20220314T193441-194006_cropped,img8025.png,887.131,181.883,1.0,891.942,238.829,1.0,927.077,218.776,1.0,916.254,246.355,1.0,910.299,293.504,1.0,948.573,258.764,0.9980000257492065,953.119,267.21,0.996999979019165
labeled-data,e3v816b-20220314T193441-194006_cropped,img6840.png,890.079,964.695,1.0,928.122,933.866,1.0,895.352,910.052,1.0,924.959,905.549,1.0,979.313,867.989,1.0,908.49,838.713,1.0,957.488,816.416,1.0
labeled-data,e3v816b-20220314T193441-194006_cropped,img8562.png,723.069,263.047,1.0,689.886,252.152,1.0,711.553,290.255,1.0,685.154,283.211,1.0,594.857,284.563,1.0,621.095,346.342,1.0,561.054,338.71,1.0
labeled-data,e3v816b-20220314T193441-194006_cropped,img8188.png,676.334,456.196,1.0,720.424,470.439,1.0,716.969,422.434,1.0,736.743,442.476,1.0,800.327,466.137,1.0,778.572,397.841,1.0,840.255,415.655,1.0
labeled-data,e3v816b-20220314T193441-194006_cropped,img6471.png,330.185,901.255,1.0,350.693,926.599,1.0,352.655,890.83,1.0,372.901,905.015,1.0,461.791,921.922,1.0,428.621,861.264,1.0,498.923,876.694,1.0
labeled-data,e3v816b-20220314T193441-194006_cropped,img6941.png,984.651,618.24,1.0,969.289,658.68,1.0,1008.367,670.512,1.0,979.489,684.804,1.0,928.435,725.479,1.0,985.94,749.049,0.9750000238418579,917.333,766.388,1.0
labeled-data,e3v816b-20220314T193441-194006_cropped,img5197.png,349.967,580.403,1.0,384.898,586.398,1.0,363.793,549.628,1.0,391.624,556.453,1.0,464.167,569.608,1.0,471.809,507.989,1.0,515.334,549.217,1.0
labeled-data,e3v816b-20220314T193441-194006_cropped,img6727.png,997.981,699.048,1.0,950.366,706.373,1.0,959.696,751.083,1.0,942.604,735.356,1.0,870.063,752.952,1.0,915.903,795.879,1.0,858.49,798.718,1.0
labeled-data,e3v816b-20220314T193441-194006_cropped,img6751.png,1079.996,778.269,1.0,1043.102,742.812,1.0,1025.141,781.133,1.0,1022.098,753.563,1.0,956.115,690.206,0.9890000224113464,947.766,756.191,0.9980000257492065,907.938,726.475,1.0
labeled-data,e3v816b-20220314T193441-194006_cropped,img6248.png,855.929,818.889,1.0,863.181,790.581,1.0,827.916,812.031,1.0,830.879,784.755,1.0,832.479,721.347,1.0,758.947,722.537,1.0,782.269,677.359,1.0
labeled-data,e3v816b-20220314T193441-194006_cropped,img4525.png,1009.06,121.2,1.0,992.261,106.822,1.0,1002.396,145.932,1.0,976.418,134.781,1.0,942.279,91.912,0.9950000047683716,971.657,171.023,0.9990000128746033,899.741,77.065,1.0
labeled-data,e3v816b-20220314T193441-194006_cropped,img5329.png,227.551,606.044,1.0,252.654,621.632,1.0,239.773,581.2,1.0,267.015,590.413,1.0,347.592,587.03,1.0,325.919,523.806,1.0,386.478,552.823,1.0
labeled-data,e3v816b-20220314T193441-194006_cropped,img6309.png,993.223,908.287,1.0,1002.498,883.356,1.0,969.915,896.469,1.0,974.141,868.056,1.0,966.476,794.382,1.0,898.562,827.85,1.0,887.853,775.047,1.0
labeled-data,e3v816b-20220314T193441-194006_cropped,img6907.png,967.482,1001.711,0.9919999837875366,953.661,953.961,1.0,984.731,950.526,0.9559999704360962,948.284,947.202,0.9769999980926514,964.31,904.952,0.9990000128746033,905.258,934.218,0.9890000224113464,936.136,870.821,1.0
labeled-data,e3v816b-20220314T193441-194006_cropped,img4848.png,1035.874,142.355,1.0,1006.994,111.102,1.0,1004.657,154.61,1.0,987.624,133.842,1.0,937.482,109.773,0.9750000238418579,949.624,193.439,1.0,887.313,194.272,1.0
labeled-data,e3v816b-20220314T193441-194006_cropped,img8715.png,1093.041,444.35,0.9169999957084656,1054.713,415.107,1.0,1043.589,463.181,1.0,1035.987,432.713,1.0,1021.224,379.477,0.9990000128746033,969.443,430.766,1.0,940.795,393.885,1.0
labeled-data,e3v816b-20220314T193441-194006_cropped,img7293.png,875.394,376.952,1.0,825.98,366.215,1.0,827.003,416.388,1.0,807.691,390.66,1.0,757.586,340.79,1.0,713.679,403.237,1.0,694.384,361.613,1.0
labeled-data,e3v816b-20220314T193441-194006_cropped,img8556.png,655.185,280.943,1.0,621.154,266.855,1.0,636.139,306.458,1.0,608.379,297.503,1.0,516.399,315.866,0.9990000128746033,529.498,375.722,1.0,477.189,356.528,0.9869999885559082
