Observation id,DLC5,,,,,,,
,,,,,,,,
Media file(s),,,,,,,,
,,,,,,,,
Player #1,C:/Clever Sys Inc/TopScan/Video/Donnie/DLC5/e3v813a-20210610T123521-124106_reencode.avi,,,,,,,
,,,,,,,,
Observation date,2021-07-12 14:38:11,,,,,,,
,,,,,,,,
Description,,,,,,,,
,,,,,,,,
Time offset (s),0.0,,,,,,,
,,,,,,,,
independent variables,,,,,,,,
variable,value,,,,,,,
,,,,,,,,
Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
6.975,C:/Clever Sys Inc/TopScan/Video/Donnie/DLC5/e3v813a-20210610T123521-124106_reencode.avi,344.970,30.0,adult,interact,,,START
10.975,C:/Clever Sys Inc/TopScan/Video/Donnie/DLC5/e3v813a-20210610T123521-124106_reencode.avi,344.970,30.0,adult,interact,,,STOP
15.175,C:/Clever Sys Inc/TopScan/Video/Donnie/DLC5/e3v813a-20210610T123521-124106_reencode.avi,344.970,30.0,adult,interact,,,START
16.575,C:/Clever Sys Inc/TopScan/Video/Donnie/DLC5/e3v813a-20210610T123521-124106_reencode.avi,344.970,30.0,adult,interact,,,STOP
31.375,C:/Clever Sys Inc/TopScan/Video/Donnie/DLC5/e3v813a-20210610T123521-124106_reencode.avi,344.970,30.0,adult,interact,,,START
32.375,C:/Clever Sys Inc/TopScan/Video/Donnie/DLC5/e3v813a-20210610T123521-124106_reencode.avi,344.970,30.0,adult,interact,,,STOP
52.575,C:/Clever Sys Inc/TopScan/Video/Donnie/DLC5/e3v813a-20210610T123521-124106_reencode.avi,344.970,30.0,adult,interact,,,START
52.975,C:/Clever Sys Inc/TopScan/Video/Donnie/DLC5/e3v813a-20210610T123521-124106_reencode.avi,344.970,30.0,adult,interact,,,STOP
57.801,C:/Clever Sys Inc/TopScan/Video/Donnie/DLC5/e3v813a-20210610T123521-124106_reencode.avi,344.970,30.0,adult,interact,,,START
59.001,C:/Clever Sys Inc/TopScan/Video/Donnie/DLC5/e3v813a-20210610T123521-124106_reencode.avi,344.970,30.0,adult,interact,,,STOP
60.626,C:/Clever Sys Inc/TopScan/Video/Donnie/DLC5/e3v813a-20210610T123521-124106_reencode.avi,344.970,30.0,adult,interact,,,START
62.426,C:/Clever Sys Inc/TopScan/Video/Donnie/DLC5/e3v813a-20210610T123521-124106_reencode.avi,344.970,30.0,adult,interact,,,STOP
64.626,C:/Clever Sys Inc/TopScan/Video/Donnie/DLC5/e3v813a-20210610T123521-124106_reencode.avi,344.970,30.0,adult,interact,,,START
65.626,C:/Clever Sys Inc/TopScan/Video/Donnie/DLC5/e3v813a-20210610T123521-124106_reencode.avi,344.970,30.0,adult,interact,,,STOP
70.050,C:/Clever Sys Inc/TopScan/Video/Donnie/DLC5/e3v813a-20210610T123521-124106_reencode.avi,344.970,30.0,adult,interact,,,START
71.450,C:/Clever Sys Inc/TopScan/Video/Donnie/DLC5/e3v813a-20210610T123521-124106_reencode.avi,344.970,30.0,adult,interact,,,STOP
78.475,C:/Clever Sys Inc/TopScan/Video/Donnie/DLC5/e3v813a-20210610T123521-124106_reencode.avi,344.970,30.0,adult,interact,,,START
78.875,C:/Clever Sys Inc/TopScan/Video/Donnie/DLC5/e3v813a-20210610T123521-124106_reencode.avi,344.970,30.0,adult,interact,,,STOP
93.275,C:/Clever Sys Inc/TopScan/Video/Donnie/DLC5/e3v813a-20210610T123521-124106_reencode.avi,344.970,30.0,adult,interact,,,START
93.875,C:/Clever Sys Inc/TopScan/Video/Donnie/DLC5/e3v813a-20210610T123521-124106_reencode.avi,344.970,30.0,adult,interact,,,STOP
95.075,C:/Clever Sys Inc/TopScan/Video/Donnie/DLC5/e3v813a-20210610T123521-124106_reencode.avi,344.970,30.0,adult,interact,,,START
95.875,C:/Clever Sys Inc/TopScan/Video/Donnie/DLC5/e3v813a-20210610T123521-124106_reencode.avi,344.970,30.0,adult,interact,,,STOP
97.875,C:/Clever Sys Inc/TopScan/Video/Donnie/DLC5/e3v813a-20210610T123521-124106_reencode.avi,344.970,30.0,adult,interact,,,START
98.475,C:/Clever Sys Inc/TopScan/Video/Donnie/DLC5/e3v813a-20210610T123521-124106_reencode.avi,344.970,30.0,adult,interact,,,STOP
100.875,C:/Clever Sys Inc/TopScan/Video/Donnie/DLC5/e3v813a-20210610T123521-124106_reencode.avi,344.970,30.0,adult,interact,,,START
103.275,C:/Clever Sys Inc/TopScan/Video/Donnie/DLC5/e3v813a-20210610T123521-124106_reencode.avi,344.970,30.0,adult,interact,,,STOP
105.875,C:/Clever Sys Inc/TopScan/Video/Donnie/DLC5/e3v813a-20210610T123521-124106_reencode.avi,344.970,30.0,adult,interact,,,START
106.275,C:/Clever Sys Inc/TopScan/Video/Donnie/DLC5/e3v813a-20210610T123521-124106_reencode.avi,344.970,30.0,adult,interact,,,STOP
106.675,C:/Clever Sys Inc/TopScan/Video/Donnie/DLC5/e3v813a-20210610T123521-124106_reencode.avi,344.970,30.0,adult,interact,,,START
107.275,C:/Clever Sys Inc/TopScan/Video/Donnie/DLC5/e3v813a-20210610T123521-124106_reencode.avi,344.970,30.0,adult,interact,,,STOP
