scorer,,,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000
individuals,,,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1
bodyparts,,,nose,nose,nose,leftear,leftear,leftear,rightear,rightear,rightear,neck,neck,neck,lefthip,lefthip,lefthip,righthip,righthip,righthip,tail,tail,tail
coords,,,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
labeled-data,e3v816b-20220314T161409-161910_cropped,img7458.png,964.106,105.249,1.0,935.474,156.833,1.0,974.421,169.577,1.0,943.888,180.318,1.0,876.246,228.614,1.0,940.194,227.516,1.0,898.301,255.927,1.0
labeled-data,e3v816b-20220314T161409-161910_cropped,img1691.png,223.979,910.278,1.0,254.319,926.979,1.0,245.013,892.109,1.0,268.138,904.598,1.0,370.272,896.545,1.0,342.576,836.27,1.0,403.231,853.889,1.0
labeled-data,e3v816b-20220314T161409-161910_cropped,img2005.png,1014.351,999.191,0.9990000128746033,972.646,962.782,1.0,965.723,964.56,0.7490000128746033,986.665,947.607,0.9860000014305115,997.548,877.475,0.9980000257492065,950.872,920.636,1.0,947.886,874.164,1.0
labeled-data,e3v816b-20220314T161409-161910_cropped,img0701.png,1037.233,213.387,1.0,1014.12,168.982,1.0,995.523,202.917,1.0,990.512,175.181,1.0,915.172,120.694,1.0,903.897,178.299,1.0,869.492,137.807,1.0
labeled-data,e3v816b-20220314T161409-161910_cropped,img6827.png,670.15,916.581,1.0,703.756,904.554,1.0,677.059,886.36,1.0,704.786,877.242,1.0,787.688,827.594,1.0,738.407,782.72,1.0,798.936,775.132,1.0
labeled-data,e3v816b-20220314T161409-161910_cropped,img2102.png,671.406,343.44,1.0,720.651,328.477,1.0,701.369,292.841,1.0,724.933,298.225,1.0,804.44,272.357,1.0,757.553,217.915,1.0,816.705,215.746,1.0
labeled-data,e3v816b-20220314T161409-161910_cropped,img8629.png,874.755,370.598,1.0,905.269,325.42,0.9980000257492065,899.436,321.17,1.0,923.825,326.457,1.0,977.422,302.773,1.0,899.176,268.432,1.0,955.387,241.817,1.0
labeled-data,e3v816b-20220314T161409-161910_cropped,img0734.png,1040.66,715.723,1.0,1048.586,688.396,1.0,1009.061,697.453,1.0,1027.169,674.139,1.0,1053.049,579.83,1.0,992.583,565.591,1.0,1030.279,528.463,1.0
labeled-data,e3v816b-20220314T161409-161910_cropped,img8362.png,878.885,340.092,1.0,917.956,306.399,1.0,878.111,285.807,1.0,911.258,272.683,1.0,939.992,224.338,1.0,875.103,217.759,0.9990000128746033,893.271,183.584,1.0
labeled-data,e3v816b-20220314T161409-161910_cropped,img1624.png,374.491,560.904,1.0,367.274,525.927,1.0,335.611,550.067,1.0,337.929,521.558,1.0,308.814,414.081,1.0,246.892,432.097,1.0,246.81,388.808,1.0
labeled-data,e3v816b-20220314T161409-161910_cropped,img0008.png,774.165,759.505,1.0,780.458,808.492,1.0,813.954,781.976,1.0,808.653,807.511,1.0,877.993,876.246,1.0,907.131,818.131,0.9990000128746033,932.821,874.333,1.0
labeled-data,e3v816b-20220314T161409-161910_cropped,img2913.png,923.873,777.53,1.0,941.76,825.003,1.0,971.661,788.423,1.0,966.899,812.672,1.0,974.82,857.719,0.9990000128746033,1003.661,795.912,1.0,1034.443,820.621,1.0
labeled-data,e3v816b-20220314T161409-161910_cropped,img1428.png,207.314,141.796,1.0,228.164,179.447,1.0,247.868,154.887,1.0,252.503,176.442,1.0,261.449,252.813,1.0,324.653,226.856,1.0,312.677,286.161,1.0
labeled-data,e3v816b-20220314T161409-161910_cropped,img6338.png,667.652,725.01,1.0,640.903,698.883,1.0,644.525,740.656,1.0,624.622,723.784,1.0,551.966,708.306,0.9950000047683716,583.479,771.952,1.0,526.509,782.171,1.0
labeled-data,e3v816b-20220314T161409-161910_cropped,img2853.png,923.715,777.33,1.0,895.002,776.343,1.0,902.531,815.713,1.0,881.405,796.813,1.0,773.667,784.289,1.0,763.574,845.622,1.0,727.149,820.632,1.0
labeled-data,e3v816b-20220314T161409-161910_cropped,img5208.png,409.884,146.809,1.0,389.017,174.818,1.0,430.048,181.803,1.0,400.294,206.124,1.0,380.223,282.518,1.0,442.285,293.351,1.0,411.471,339.426,1.0
labeled-data,e3v816b-20220314T161409-161910_cropped,img5370.png,304.156,697.537,1.0,336.329,674.922,1.0,295.337,662.234,1.0,316.952,648.268,1.0,369.15,559.137,1.0,304.939,550.026,1.0,338.234,505.118,1.0
labeled-data,e3v816b-20220314T161409-161910_cropped,img5248.png,286.587,66.392,1.0,309.46,122.505,1.0,342.869,102.983,1.0,336.654,124.397,1.0,390.239,183.423,0.9959999918937683,440.387,160.328,1.0,421.493,207.848,1.0
labeled-data,e3v816b-20220314T161409-161910_cropped,img3227.png,941.923,914.272,1.0,922.008,883.02,1.0,899.373,912.18,1.0,897.233,886.675,1.0,827.004,815.094,1.0,793.147,867.858,1.0,775.848,822.689,1.0
labeled-data,e3v816b-20220314T161409-161910_cropped,img6623.png,906.401,674.993,1.0,905.325,734.158,1.0,942.023,716.609,1.0,933.897,742.788,1.0,926.862,794.283,1.0,977.841,762.415,1.0,980.874,807.977,1.0
labeled-data,e3v816b-20220314T161409-161910_cropped,img4181.png,735.748,228.831,1.0,785.0,249.342,1.0,780.41,204.65,1.0,796.55,220.623,1.0,847.622,221.225,0.9990000128746033,789.566,166.21,0.9990000128746033,814.004,142.396,1.0
labeled-data,e3v816b-20220314T161409-161910_cropped,img2502.png,862.478,135.544,1.0,891.577,154.746,1.0,908.68,121.414,1.0,912.389,149.12,1.0,931.696,216.615,0.9879999756813049,985.603,186.569,0.9610000252723694,977.472,245.794,1.0
labeled-data,e3v816b-20220314T161409-161910_cropped,img5298.png,208.182,486.473,1.0,242.488,455.955,1.0,201.799,441.681,1.0,224.306,427.773,1.0,283.152,369.743,1.0,220.152,331.096,1.0,271.521,311.372,1.0
labeled-data,e3v816b-20220314T161409-161910_cropped,img0682.png,845.57,133.581,1.0,811.244,119.999,1.0,822.735,161.216,1.0,800.828,143.371,1.0,690.882,172.57,1.0,713.66,235.855,1.0,665.08,228.139,1.0
labeled-data,e3v816b-20220314T161409-161910_cropped,img2042.png,1022.009,619.001,1.0,1002.459,653.843,1.0,1043.878,670.513,1.0,1010.616,685.177,1.0,973.608,750.036,1.0,1027.851,772.672,1.0,985.397,803.502,1.0
labeled-data,e3v816b-20220314T161409-161910_cropped,img1415.png,252.98,200.621,1.0,247.112,233.658,1.0,283.402,223.028,1.0,267.686,248.553,1.0,285.953,348.518,1.0,345.399,339.553,1.0,333.24,378.199,0.9789999723434448
labeled-data,e3v816b-20220314T161409-161910_cropped,img7698.png,781.931,427.337,1.0,830.194,410.478,0.9800000190734863,801.926,380.841,1.0,823.579,378.93,1.0,875.355,354.36,1.0,806.825,317.093,1.0,842.327,292.278,1.0
labeled-data,e3v816b-20220314T161409-161910_cropped,img0726.png,1029.044,600.07,1.0,1041.371,570.101,1.0,1005.25,575.39,1.0,1016.884,548.278,1.0,1046.563,452.009,1.0,987.293,455.043,1.0,1015.501,405.379,1.0
labeled-data,e3v816b-20220314T161409-161910_cropped,img5957.png,512.202,584.908,1.0,542.01,610.689,1.0,550.643,573.18,1.0,569.605,592.381,1.0,656.528,615.027,1.0,662.766,555.047,1.0,712.228,589.294,1.0
labeled-data,e3v816b-20220314T161409-161910_cropped,img0427.png,964.028,967.234,1.0,975.354,917.916,1.0,935.209,925.103,1.0,952.812,906.017,1.0,969.882,841.462,0.9990000128746033,907.188,857.112,1.0,905.804,805.559,1.0
