scorer,,,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000
individuals,,,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1
bodyparts,,,nose,nose,nose,leftear,leftear,leftear,rightear,rightear,rightear,neck,neck,neck,lefthip,lefthip,lefthip,righthip,righthip,righthip,tail,tail,tail
coords,,,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
labeled-data,e3v816b-20220314T190936-191503_cropped,img2875.png,338.272,761.524,1.0,373.069,760.672,1.0,351.12,731.817,1.0,377.824,731.214,1.0,453.889,710.5,1.0,418.368,649.29,1.0,475.006,664.121,1.0
labeled-data,e3v816b-20220314T190936-191503_cropped,img3961.png,433.543,265.309,1.0,471.456,283.4,1.0,481.497,237.01,1.0,490.86,266.137,1.0,557.156,306.165,1.0,566.248,240.374,1.0,610.11,273.345,1.0
labeled-data,e3v816b-20220314T190936-191503_cropped,img6059.png,1026.4,244.317,1.0,1001.396,220.192,1.0,1004.929,260.994,1.0,988.213,244.485,1.0,920.16,212.317,1.0,906.413,291.116,1.0,856.696,249.574,1.0
labeled-data,e3v816b-20220314T190936-191503_cropped,img4456.png,550.7,345.192,1.0,557.885,384.206,1.0,595.211,361.1,1.0,586.628,381.289,1.0,624.635,432.171,1.0,664.113,374.208,1.0,688.12,430.749,1.0
labeled-data,e3v816b-20220314T190936-191503_cropped,img4170.png,202.757,474.019,0.9950000047683716,213.554,493.089,1.0,219.465,459.497,1.0,235.979,483.912,1.0,277.124,521.45,0.9990000128746033,298.052,452.881,1.0,323.929,506.525,0.9570000171661377
labeled-data,e3v816b-20220314T190936-191503_cropped,img8572.png,986.711,327.557,1.0,955.549,376.642,1.0,1005.1,378.145,1.0,975.238,382.059,0.9990000128746033,925.026,351.88,0.9990000128746033,963.214,403.555,0.9589999914169312,930.933,408.189,1.0
labeled-data,e3v816b-20220314T190936-191503_cropped,img4962.png,731.314,266.865,1.0,710.731,314.296,1.0,756.353,320.973,1.0,730.319,327.48,1.0,683.723,348.241,1.0,746.255,355.849,1.0,712.454,387.96,1.0
labeled-data,e3v816b-20220314T190936-191503_cropped,img7311.png,209.128,421.389,1.0,258.492,424.658,1.0,246.032,383.181,1.0,268.181,394.217,1.0,341.566,368.354,1.0,279.534,324.887,1.0,329.378,311.238,1.0
labeled-data,e3v816b-20220314T190936-191503_cropped,img4300.png,546.069,393.269,1.0,497.95,423.811,1.0,527.491,460.813,1.0,494.368,444.767,1.0,457.699,430.588,1.0,490.511,485.612,1.0,436.297,484.908,1.0
labeled-data,e3v816b-20220314T190936-191503_cropped,img3734.png,883.7,321.592,1.0,935.575,333.497,1.0,935.992,289.957,1.0,949.476,312.999,1.0,965.732,348.223,0.9990000128746033,965.547,270.864,0.9700000286102295,992.9,342.22,1.0
labeled-data,e3v816b-20220314T190936-191503_cropped,img2696.png,590.097,329.151,1.0,569.394,363.344,1.0,616.293,375.366,1.0,587.779,391.3,1.0,535.56,442.71,1.0,593.585,474.733,1.0,546.899,494.266,1.0
labeled-data,e3v816b-20220314T190936-191503_cropped,img3193.png,811.509,389.464,1.0,753.894,394.221,1.0,775.04,430.137,1.0,746.617,418.893,1.0,677.399,428.791,1.0,725.369,474.294,1.0,671.647,477.254,1.0
labeled-data,e3v816b-20220314T190936-191503_cropped,img3570.png,955.847,378.066,1.0,902.903,381.739,1.0,916.74,425.959,1.0,894.317,408.416,1.0,811.993,395.257,1.0,843.078,466.035,1.0,790.323,456.274,1.0
labeled-data,e3v816b-20220314T190936-191503_cropped,img3155.png,496.145,488.766,1.0,457.746,489.994,1.0,476.046,534.5,1.0,449.637,518.085,1.0,405.89,512.244,1.0,444.2,569.31,1.0,407.939,584.664,1.0
labeled-data,e3v816b-20220314T190936-191503_cropped,img0619.png,648.134,167.264,1.0,624.381,206.08,1.0,671.488,219.216,1.0,639.593,236.81,1.0,588.82,300.423,0.9980000257492065,652.412,313.712,1.0,633.951,345.872,1.0
labeled-data,e3v816b-20220314T190936-191503_cropped,img0137.png,506.923,230.894,1.0,482.081,270.693,1.0,525.393,280.049,1.0,495.947,300.819,1.0,425.547,370.44,1.0,521.07,336.599,0.9950000047683716,423.589,422.963,1.0
labeled-data,e3v816b-20220314T190936-191503_cropped,img5489.png,663.41,576.611,1.0,686.81,541.588,1.0,645.055,535.43,1.0,665.064,519.109,1.0,706.995,443.752,1.0,638.332,433.738,1.0,657.704,391.945,1.0
labeled-data,e3v816b-20220314T190936-191503_cropped,img0638.png,689.94,168.715,1.0,664.787,218.309,1.0,707.524,172.583,1.0,690.117,212.972,1.0,623.931,211.433,1.0,682.273,251.696,0.9990000128746033,643.841,275.424,1.0
labeled-data,e3v816b-20220314T190936-191503_cropped,img2346.png,871.104,283.065,1.0,833.804,275.985,1.0,844.775,320.639,1.0,818.03,302.858,1.0,724.485,347.215,1.0,795.805,362.415,1.0,757.147,394.838,1.0
labeled-data,e3v816b-20220314T190936-191503_cropped,img7008.png,499.244,226.328,1.0,547.509,247.053,1.0,546.33,195.829,1.0,547.622,216.979,0.9900000095367432,547.798,180.152,0.6010000109672546,568.609,196.785,0.9380000233650208,592.637,207.323,1.0
labeled-data,e3v816b-20220314T190936-191503_cropped,img2561.png,553.379,658.123,1.0,557.241,707.405,1.0,592.043,689.094,1.0,583.915,715.498,1.0,590.938,779.248,1.0,644.743,753.49,1.0,638.332,804.212,1.0
labeled-data,e3v816b-20220314T190936-191503_cropped,img5914.png,811.754,278.512,1.0,855.312,273.159,1.0,835.349,230.118,1.0,856.421,242.391,1.0,936.45,237.677,1.0,881.496,187.051,1.0,947.536,197.845,1.0
labeled-data,e3v816b-20220314T190936-191503_cropped,img6391.png,753.602,344.313,1.0,783.249,375.751,1.0,799.565,344.451,1.0,807.917,365.82,1.0,862.42,426.754,1.0,884.336,361.692,1.0,913.228,398.942,1.0
labeled-data,e3v816b-20220314T190936-191503_cropped,img8423.png,698.94,490.936,1.0,665.878,532.907,1.0,715.808,544.068,1.0,687.817,557.141,1.0,635.163,590.366,1.0,682.143,627.504,1.0,629.724,630.868,1.0
labeled-data,e3v816b-20220314T190936-191503_cropped,img4348.png,883.773,328.316,1.0,830.832,329.531,1.0,845.237,380.497,1.0,823.727,360.861,1.0,760.995,342.221,1.0,771.816,410.853,1.0,707.55,389.03,1.0
labeled-data,e3v816b-20220314T190936-191503_cropped,img0520.png,629.79,419.3,1.0,671.75,399.335,1.0,636.884,368.113,1.0,664.306,367.571,1.0,731.092,330.71,1.0,662.368,299.374,1.0,705.524,268.271,1.0
labeled-data,e3v816b-20220314T190936-191503_cropped,img5629.png,704.894,810.948,1.0,665.879,807.092,1.0,671.347,846.17,1.0,651.292,830.678,1.0,573.56,811.916,1.0,570.414,874.406,1.0,517.861,846.92,1.0
labeled-data,e3v816b-20220314T190936-191503_cropped,img4820.png,771.922,841.15,1.0,812.689,841.356,1.0,782.016,811.967,1.0,810.347,807.626,1.0,868.969,749.781,1.0,801.016,727.354,1.0,825.551,696.847,1.0
labeled-data,e3v816b-20220314T190936-191503_cropped,img6677.png,500.293,233.985,1.0,535.097,266.119,1.0,555.497,218.683,1.0,555.293,250.309,1.0,591.956,315.988,0.9990000128746033,644.274,267.164,0.9990000128746033,662.129,318.396,1.0
labeled-data,e3v816b-20220314T190936-191503_cropped,img5802.png,921.734,551.899,1.0,895.717,586.958,1.0,935.126,604.056,1.0,905.213,620.497,1.0,847.23,671.136,1.0,914.627,687.773,1.0,872.044,725.789,1.0
