scorer,,,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000,DLC_dlcrnetms5_Overnight Videos MultiCamera 813aJun14shuffle1_75000
individuals,,,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1
bodyparts,,,nose,nose,nose,leftear,leftear,leftear,rightear,rightear,rightear,neck,neck,neck,lefthip,lefthip,lefthip,righthip,righthip,righthip,tail,tail,tail
coords,,,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
labeled-data,e3v816b-20220314T235522-000024_cropped,img2930.png,941.856,714.694,0.3319999873638153,949.591,757.589,1.0,985.146,730.639,1.0,977.199,752.814,1.0,970.34,789.516,1.0,1004.427,755.405,0.9980000257492065,1002.56,779.413,1.0
labeled-data,e3v816b-20220314T235522-000024_cropped,img3880.png,926.007,685.009,1.0,907.061,719.837,1.0,944.632,705.711,1.0,932.665,720.107,1.0,944.337,781.574,1.0,999.889,741.697,1.0,999.314,786.942,1.0
labeled-data,e3v816b-20220314T235522-000024_cropped,img3679.png,924.378,697.026,1.0,951.731,706.564,0.9990000128746033,950.571,710.948,1.0,939.888,730.971,1.0,949.623,785.243,1.0,1001.573,739.324,1.0,1001.274,786.202,1.0
labeled-data,e3v816b-20220314T235522-000024_cropped,img4943.png,925.565,693.164,1.0,913.535,742.648,0.9990000128746033,920.522,738.056,1.0,942.932,734.545,1.0,947.661,788.377,1.0,1002.091,739.905,1.0,1002.451,787.934,1.0
labeled-data,e3v816b-20220314T235522-000024_cropped,img5107.png,924.129,698.116,1.0,924.451,747.268,1.0,963.722,720.088,1.0,946.11,740.598,1.0,950.435,788.118,1.0,1002.795,740.226,1.0,1004.558,785.479,1.0
labeled-data,e3v816b-20220314T235522-000024_cropped,img3690.png,923.303,693.074,1.0,949.413,707.145,1.0,909.897,732.453,1.0,935.782,731.535,1.0,945.973,784.399,1.0,1002.181,739.033,1.0,1002.792,786.578,1.0
labeled-data,e3v816b-20220314T235522-000024_cropped,img4677.png,946.86,679.647,1.0,921.707,712.585,1.0,966.815,711.77,1.0,944.445,729.022,1.0,944.274,784.986,1.0,1003.495,746.884,1.0,1000.764,791.466,1.0
labeled-data,e3v816b-20220314T235522-000024_cropped,img3287.png,929.812,681.297,1.0,910.876,725.398,1.0,954.812,720.557,1.0,936.486,732.938,1.0,944.58,789.467,1.0,992.383,738.635,1.0,999.12,784.653,1.0
labeled-data,e3v816b-20220314T235522-000024_cropped,img5302.png,921.866,692.803,1.0,910.014,726.812,0.9980000257492065,946.704,712.144,1.0,933.211,728.089,1.0,943.632,781.923,1.0,1001.194,744.884,1.0,1001.247,786.339,1.0
labeled-data,e3v816b-20220314T235522-000024_cropped,img5410.png,900.088,727.209,1.0,956.557,725.726,1.0,964.338,730.48,0.9980000257492065,957.106,750.266,1.0,964.237,795.264,0.9980000257492065,1004.934,739.737,1.0,1003.616,786.378,1.0
labeled-data,e3v816b-20220314T235522-000024_cropped,img3115.png,889.504,706.829,1.0,909.834,755.808,0.9829999804496765,910.53,750.991,1.0,932.581,742.536,1.0,954.685,793.273,1.0,995.354,731.2,1.0,994.212,775.779,1.0
labeled-data,e3v816b-20220314T235522-000024_cropped,img4076.png,936.453,687.735,1.0,954.653,709.968,0.9990000128746033,912.697,726.069,1.0,940.065,727.002,1.0,945.712,781.843,1.0,1001.803,742.178,1.0,999.151,790.942,1.0
labeled-data,e3v816b-20220314T235522-000024_cropped,img5428.png,900.285,745.619,1.0,953.039,730.042,1.0,942.136,766.164,0.859000027179718,958.224,756.255,1.0,972.567,794.843,0.9940000176429749,1001.749,735.08,1.0,1004.352,786.207,1.0
labeled-data,e3v816b-20220314T235522-000024_cropped,img5384.png,901.686,727.26,1.0,929.789,758.314,1.0,962.087,727.165,1.0,954.321,749.809,1.0,962.291,796.049,1.0,1005.804,739.014,1.0,1004.181,786.521,1.0
labeled-data,e3v816b-20220314T235522-000024_cropped,img5481.png,949.469,694.126,1.0,934.387,745.281,1.0,981.873,732.23,1.0,957.996,747.034,1.0,955.068,788.24,1.0,1016.063,751.961,1.0,1004.987,788.497,1.0
labeled-data,e3v816b-20220314T235522-000024_cropped,img4232.png,926.593,689.319,1.0,914.055,724.72,0.9919999837875366,955.027,709.171,1.0,936.389,729.634,1.0,946.017,781.941,1.0,1002.847,740.125,1.0,999.864,785.26,1.0
labeled-data,e3v816b-20220314T235522-000024_cropped,img3563.png,920.719,689.815,1.0,908.868,730.02,0.9710000157356262,943.339,707.715,1.0,929.789,728.991,1.0,945.019,782.964,1.0,999.793,740.555,1.0,999.783,791.539,1.0
labeled-data,e3v816b-20220314T235522-000024_cropped,img1622.png,907.577,633.418,1.0,907.558,682.335,1.0,949.682,656.814,1.0,940.108,681.319,1.0,924.712,735.042,1.0,977.205,713.555,1.0,975.203,743.645,1.0
labeled-data,e3v816b-20220314T235522-000024_cropped,img4129.png,921.568,691.856,1.0,907.573,728.462,1.0,948.388,710.336,1.0,933.838,727.72,1.0,945.025,785.419,1.0,1003.026,744.12,1.0,999.075,787.851,1.0
labeled-data,e3v816b-20220314T235522-000024_cropped,img2430.png,880.848,681.598,1.0,916.762,691.353,1.0,944.23,666.143,1.0,941.309,687.2,1.0,929.722,750.837,1.0,988.637,700.003,1.0,984.648,754.927,1.0
labeled-data,e3v816b-20220314T235522-000024_cropped,img4556.png,935.517,682.597,1.0,914.957,719.218,1.0,958.334,711.609,1.0,937.277,728.434,1.0,944.097,785.837,1.0,999.486,743.989,1.0,999.56,789.589,1.0
labeled-data,e3v816b-20220314T235522-000024_cropped,img5173.png,935.915,694.33,1.0,924.391,726.738,1.0,960.019,711.489,1.0,943.827,729.064,1.0,948.044,784.366,1.0,1005.059,744.358,1.0,1003.981,784.797,1.0
labeled-data,e3v816b-20220314T235522-000024_cropped,img5280.png,923.952,694.303,1.0,941.721,703.269,1.0,907.06,730.365,1.0,932.62,728.575,1.0,943.872,785.868,1.0,999.752,740.909,1.0,1003.609,785.971,1.0
labeled-data,e3v816b-20220314T235522-000024_cropped,img5834.png,908.415,708.43,1.0,935.122,731.528,1.0,910.255,755.133,1.0,941.836,745.58,1.0,956.654,794.455,1.0,995.862,733.068,1.0,999.772,787.864,1.0
labeled-data,e3v816b-20220314T235522-000024_cropped,img3557.png,919.184,690.347,1.0,908.705,727.402,0.9929999709129333,942.612,707.316,1.0,929.783,728.203,1.0,946.367,781.003,1.0,998.708,738.3,1.0,998.586,787.085,1.0
labeled-data,e3v816b-20220314T235522-000024_cropped,img5462.png,907.245,717.765,1.0,928.461,760.022,1.0,957.247,724.505,1.0,951.793,747.041,1.0,963.58,794.873,1.0,999.21,733.133,1.0,1005.379,783.946,1.0
labeled-data,e3v816b-20220314T235522-000024_cropped,img0521.png,905.316,581.31,1.0,905.09,623.523,1.0,947.734,616.645,1.0,933.098,643.929,1.0,912.022,704.909,1.0,974.654,676.575,1.0,961.644,730.55,1.0
labeled-data,e3v816b-20220314T235522-000024_cropped,img3311.png,925.079,684.103,1.0,909.864,728.992,1.0,946.037,715.029,1.0,932.398,730.788,1.0,942.592,786.614,1.0,994.047,740.577,1.0,997.201,787.479,1.0
labeled-data,e3v816b-20220314T235522-000024_cropped,img2931.png,947.295,696.557,0.996999979019165,950.717,751.891,1.0,988.588,726.961,1.0,977.439,750.099,1.0,966.415,787.884,1.0,1012.86,749.457,1.0,1003.514,780.255,1.0
labeled-data,e3v816b-20220314T235522-000024_cropped,img5377.png,900.396,732.13,1.0,929.529,757.922,1.0,964.626,726.142,1.0,955.491,748.5,1.0,956.559,793.501,0.9990000128746033,1002.801,738.17,1.0,1004.148,785.454,1.0
